 ,Area,Mean,Min,Max,X,Y,Ch,Counter,Count
92,0,24,24,24,213.667,421.667,1,0,133
93,0,26,26,26,203.000,423.000,1,0,133
94,0,18,18,18,201.667,416.333,1,0,133
95,0,24,24,24,211.667,412.667,1,0,133
96,0,22,22,22,193.667,411.000,1,0,133
97,0,26,26,26,204.667,403.667,1,0,133
98,0,30,30,30,214.333,396.333,1,0,133
99,0,20,20,20,191.667,397.000,1,0,133
100,0,40,40,40,183.000,395.333,1,0,133
101,0,32,32,32,178.333,385.000,1,0,133
102,0,26,26,26,188.333,384.333,1,0,133
103,0,30,30,30,194.000,377.000,1,0,133
104,0,52,52,52,200.333,384.333,1,0,133
105,0,32,32,32,202.667,394.333,1,0,133
106,0,38,38,38,209.667,382.000,1,0,133
107,0,34,34,34,201.333,370.000,1,0,133
108,0,42,42,42,223.333,389.667,1,0,133
109,0,56,56,56,218.000,368.333,1,0,133
110,0,22,22,22,202.667,332.333,1,0,133
111,0,38,38,38,192.667,337.667,1,0,133
112,0,30,30,30,267.333,404.667,1,0,133
113,0,30,30,30,376.667,339.667,1,0,133
114,0,32,32,32,316.333,301.000,1,0,133
115,0,42,42,42,353.000,355.333,1,1,85
116,0,18,18,18,371.000,346.333,1,1,85
117,0,34,34,34,361.000,341.333,1,1,85
118,0,30,30,30,257.000,413.000,1,1,85
119,0,80,80,80,182.000,369.667,1,1,85
120,0,136,136,136,193.000,361.667,1,1,85
121,0,38,38,38,164.667,376.000,1,1,85
122,0,70,70,70,167.000,365.667,1,1,85
123,0,40,40,40,209.000,295.667,1,1,85
124,0,54,54,54,301.333,371.667,1,1,85
125,0,70,70,70,310.000,363.000,1,1,85
126,0,46,46,46,314.333,368.667,1,1,85
127,0,54,54,54,311.333,332.000,1,1,85
128,0,52,52,52,332.333,279.000,1,1,85
129,0,68,68,68,303.000,285.667,1,1,85
130,0,114,114,114,257.000,285.333,1,1,85
131,0,122,122,122,284.333,267.000,1,1,85
132,0,198,198,198,290.667,238.333,1,1,85
133,0,144,144,144,270.333,241.667,1,1,85
134,0,252,252,252,276.333,224.000,1,1,85
135,0,208,208,208,259.000,228.333,1,1,85
136,0,132,132,132,166.667,291.000,1,1,85
137,0,62,62,62,187.667,286.333,1,1,85
138,0,226,226,226,191.667,273.667,1,1,85
139,0,50,50,50,167.000,269.667,1,1,85
140,0,98,98,98,293.333,271.667,1,1,85
141,0,130,130,130,282.000,191.667,1,1,85
142,0,48,48,48,283.333,172.333,1,1,85
143,0,52,52,52,300.667,170.667,1,1,85
144,0,126,126,126,246.667,192.333,1,1,85
145,0,66,66,66,202.667,247.667,1,1,85
146,0,42,42,42,208.667,254.333,1,0,133
147,0,148,148,148,184.333,239.667,1,1,85
148,0,170,170,170,164.000,233.333,1,1,85
149,0,212,212,212,190.000,192.333,1,1,85
150,0,232,232,232,238.333,179.667,1,1,85
151,0,80,80,80,253.667,150.667,1,1,85
152,0,80,80,80,248.000,140.667,1,1,85
153,0,220,220,220,243.667,118.667,1,1,85
154,0,64,64,64,255.000,129.000,1,1,85
155,0,255,255,255,289.000,124.667,1,1,85
156,0,222,222,222,305.333,145.333,1,1,85
157,0,136,136,136,300.667,129.667,1,1,85
